fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,tons_2017,tons_2018,tons_2019,tons_2020,tons_2021,tons_2022,tons_2023,tons_2024,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2030,value_2035,value_2040,value_2045,value_2050,current_value_2018,current_value_2019,current_value_2020,current_value_2021,current_value_2022,current_value_2023,current_value_2024,tmiles_2017,tmiles_2018,tmiles_2019,tmiles_2020,tmiles_2021,tmiles_2022,tmiles_2023,tmiles_2024,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,tmiles_2050
,011,011,,,1,,01,1,1,51.010231,51.863434,54.012407,54.395645,56.117256,56.434027,55.902481,55.990230,85.844765,102.206970,125.107510,154.243420,182.801270,67.465919,68.594362,71.436584,71.943453,74.220449,74.639408,73.936389,74.052445,113.537929,135.178514,165.466677,204.001711,241.772199,66.560261,67.993017,62.808675,81.560852,101.069223,104.272629,115.502844,3.165464,3.218410,3.351765,3.375547,3.482383,3.502040,3.469055,3.474500,5.327137,6.342501,7.763605,9.571647,11.343818
,011,019,,,1,,01,1,2,385.622345,392.072310,408.317910,411.215079,424.229954,426.624644,422.606320,423.269675,584.450440,662.015810,780.976560,940.071110,1085.843000,510.022522,518.553218,540.039582,543.871367,561.084786,564.251994,558.937374,559.814725,772.991739,875.579376,1032.916378,1243.334165,1436.131494,503.176016,514.007225,474.815125,616.576072,764.053625,788.270430,873.167561,47.831162,48.631191,50.646235,51.005589,52.619906,52.916934,52.418516,52.500796,72.493059,82.113979,96.869428,116.602924,134.683927
,011,129,,,1,,01,1,3,1.360447,1.383202,1.440515,1.450736,1.496652,1.505100,1.490924,1.493264,1.639743,1.733747,1.962994,2.306109,2.596105,1.799322,1.829418,1.905220,1.918738,1.979466,1.990640,1.971890,1.974985,2.168718,2.293047,2.596249,3.050051,3.433599,1.775168,1.813380,1.675113,2.175235,2.695525,2.780960,3.080471,0.442662,0.450066,0.468714,0.472040,0.486980,0.489729,0.485116,0.485878,0.533539,0.564126,0.638719,0.750361,0.844720
,011,131,,,1,,01,1,2,12.489625,12.698528,13.224694,13.318528,13.740057,13.817617,13.687470,13.708955,17.604208,18.407513,19.798471,22.457041,24.375181,16.518726,16.795020,17.490925,17.615030,18.172542,18.275123,18.102991,18.131407,23.283253,24.345700,26.185376,29.701589,32.238514,16.296980,16.647783,15.378421,19.969807,24.746343,25.530683,28.280351,2.141221,2.177036,2.267241,2.283328,2.355595,2.368892,2.346580,2.350263,3.018065,3.155784,3.394250,3.850035,4.178881
,011,139,,,1,,01,1,2,5.134423,5.220302,5.436606,5.475181,5.648469,5.680354,5.626851,5.635684,7.631062,8.063235,8.768422,10.056874,10.985498,6.790767,6.904350,7.190433,7.241452,7.470643,7.512813,7.442051,7.453732,10.092813,10.664403,11.597080,13.301182,14.529377,6.699608,6.843822,6.321993,8.209489,10.173100,10.495538,11.625913,1.253989,1.274964,1.327792,1.337213,1.379536,1.387323,1.374256,1.376413,1.863748,1.969298,2.141527,2.456208,2.683008
,011,280,,,1,,01,1,2,135.075287,137.334572,143.025059,144.039876,148.598709,149.437518,148.029985,148.262344,191.444790,216.874650,257.073850,313.162720,364.250370,178.650009,181.638130,189.164345,190.506537,196.536031,197.645436,195.783838,196.091155,253.204083,286.837503,340.004802,414.187703,481.756010,176.251824,180.045765,166.317609,215.973444,267.631685,276.114315,305.851969,31.114016,31.634432,32.945212,33.178971,34.229078,34.422294,34.098075,34.151598,44.098490,49.956150,59.215864,72.135696,83.903518
,011,379,,,1,,01,1,3,11.520292,11.712982,12.198312,12.284863,12.673677,12.745217,12.625171,12.644989,14.831156,17.038744,19.029207,21.944710,24.248470,15.236691,15.491542,16.133437,16.247910,16.762153,16.856772,16.698000,16.724210,19.615626,22.535373,25.167952,29.023983,32.070928,15.032155,15.355732,14.184886,18.419930,22.825755,23.549221,26.085484,4.812209,4.892699,5.095429,5.131583,5.293997,5.323880,5.273735,5.282013,6.195210,7.117355,7.948803,9.166655,10.128972
,011,472,,,1,,01,1,2,1.044785,1.062260,1.106275,1.114125,1.149386,1.155874,1.144987,1.146785,1.513114,1.591455,1.771465,2.095484,2.370462,1.381829,1.404942,1.463156,1.473537,1.520174,1.528756,1.514356,1.516733,2.001240,2.104852,2.342933,2.771480,3.135164,1.363279,1.392625,1.286440,1.670520,2.070088,2.135700,2.365716,0.218714,0.222372,0.231586,0.233230,0.240611,0.241969,0.239690,0.240067,0.316753,0.333153,0.370836,0.438666,0.496230
,011,479,,,1,,01,1,2,36.844578,37.460845,39.013043,39.289855,40.533371,40.762174,40.378240,40.441621,50.033730,56.410660,63.092640,73.186546,81.462341,48.730488,49.545560,51.598491,51.964602,53.609271,53.911884,53.404095,53.487922,66.174406,74.608508,83.446067,96.796227,107.741759,48.076333,49.111209,45.366571,58.911228,73.002082,75.315895,83.427456,8.371117,8.511134,8.863794,8.926686,9.209214,9.261198,9.173968,9.188368,11.367703,12.816547,14.334698,16.628041,18.508308
,012,012,,,1,,01,1,1,13.523384,13.749578,14.319294,14.420895,14.877314,14.961293,14.820374,14.843638,21.028540,23.849453,27.819315,32.556034,36.784824,56.585228,57.531679,59.915517,60.340640,62.250409,62.601800,62.012161,62.109500,87.988680,99.792088,116.402985,136.222605,153.916923,55.825632,57.027317,52.679090,68.406974,84.769097,87.455867,96.874909,0.353011,0.358916,0.373788,0.376440,0.388354,0.390546,0.386868,0.387475,0.548924,0.622561,0.726189,0.849836,0.960223
